"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-01","23","26","19"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-02","27","33","24"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-03","30","33","27"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-04","26","27","9"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-05","18","27","9"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-06","23","35","13"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-07","33","39","28"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-08","37","45","34"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-09","42","44","33"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-10","28","35","5"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-11","8","23","2"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-12","17","25","6"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-13","6","20","-2"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-14","27","43","19"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-15","40","43","31"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-16","30","32","23"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-17","14","23","5"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-18","3","8","-3"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-19","7","17","4"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-20","15","22","13"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-21","15","26","3"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-22","19","27","7"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-23","21","29","11"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-24","22","34","14"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-25","31","43","26"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-26","34","43","26"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-27","26","29","24"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-28","31","38","29"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-29","28","33","24"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-30","37","47","32"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-01-31","43","52","36"
"USW00014848","SOUTH BEND AIRPORT, IN US","2016-02-01","36","43","24"
